rastername,shapefilename,creation,timeanalysisdone,counted,origcounted,cloudfrac,no2
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-10T10:32:19,2021-12-20T14:26:58.133214,2106,335,0.5851794771216714,0.0001052943084547383
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-11T10:13:16,2021-12-20T14:26:58.140638,0,0,nan,nan
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-11T11:54:46,2021-12-20T14:26:58.148515,726,104,0.4584574755183646,0.000123050811854008
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-12T11:35:42,2021-12-20T14:26:58.154539,670,128,0.39738876180803856,0.0001079018086175989
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-13T11:16:39,2021-12-20T14:26:58.162007,1838,350,0.20082542753910712,0.00010985390096795086
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-13T12:58:09,2021-12-20T14:26:58.168359,0,0,nan,nan
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-14T12:39:07,2021-12-20T14:26:58.177300,938,138,0.10221331661185568,7.962792293348524e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-15T12:20:04,2021-12-20T14:26:58.182691,1514,249,0.08259699038509913,6.94744880827122e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-16T10:19:31,2021-12-20T14:26:58.188830,1572,280,0.22817369943832874,0.00014525305553832394
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-16T12:01:01,2021-12-20T14:26:58.194832,2091,364,0.14342635646034033,9.845693509372243e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-17T10:00:29,2021-12-20T14:26:58.200022,136,21,0.773580997558698,0.00011216848289566483
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-17T11:42:00,2021-12-20T14:26:58.205007,3755,705,0.2563017095267187,7.107183683577087e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-18T09:41:28,2021-12-20T14:26:58.210170,0,0,nan,nan
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-18T11:22:57,2021-12-20T14:26:58.214156,3215,603,0.09047931563496274,6.149486382952557e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-18T13:04:27,2021-12-20T14:26:58.218144,0,0,nan,nan
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-19T11:03:54,2021-12-20T14:26:58.223328,2073,368,0.08935907893926912,6.607027122589058e-05
processed\processed__NO2___\NO2___10-12-2020__19-12-2020.nc,nl_10km.shp,2020-12-19T12:45:25,2021-12-20T14:26:58.228305,759,110,0.2583875724115627,7.66002473573124e-05
