filename,shapefile,startdate,enddate,NO2(umolm-2)
processed\s5p-l3-tropno2-001-fortnight-20190318-20190331-20201007.nc,shp\nl_clean.shp,2019-03-18T01:45:39.489000,2019-03-31T23:49:21.479000,87.50813293457031
processed\s5p-l3-tropno2-001-fortnight-20190513-20190526-20201007.nc,shp\nl_clean.shp,2019-05-13T01:00:38.849000,2019-05-27T00:44:51.130000,65.63126373291016
processed\s5p-l3-tropno2-001-fortnight-20190520-20190602-20201007.nc,shp\nl_clean.shp,2019-05-20T00:29:20.323000,2019-06-03T00:13:43.402000,63.24964141845703
processed\s5p-l3-tropno2-001-fortnight-20200316-20200329-20200927.nc,shp\nl_clean.shp,2020-03-16T01:20:11.355000,2020-03-30T01:05:31.393000,68.01783752441406
processed\s5p-l3-tropno2-001-fortnight-20200511-20200524-20200927.nc,shp\nl_clean.shp,2020-05-11T00:35:19.050000,2020-05-25T00:19:08.492000,40.94668960571289
processed\s5p-l3-tropno2-001-fortnight-20200518-20200531-20200927.nc,shp\nl_clean.shp,2020-05-18T01:45:33.497000,2020-05-31T23:48:39.973000,44.54094696044922
processed\s5p-l3-tropno2-001-fortnight-20190603-20190616-20201006.nc,shp\nl_clean.shp,2019-06-03T01:07:59.926000,2019-06-17T00:51:53.777000,44.31016159057617
processed\s5p-l3-tropno2-001-fortnight-20190610-20190623-20201007.nc,shp\nl_clean.shp,2019-06-10T00:36:23.968000,2019-06-24T00:20:09.562000,43.693355560302734
processed\s5p-l3-tropno2-001-fortnight-20190617-20190630-20201007.nc,shp\nl_clean.shp,2019-06-17T01:46:13.780000,2019-06-30T23:48:09.645000,49.03577423095703
processed\s5p-l3-tropno2-001-fortnight-20200601-20200614-20200920.nc,shp\nl_clean.shp,2020-06-01T00:43:00.458000,2020-06-15T00:26:53.925000,46.76811981201172
processed\s5p-l3-tropno2-001-fortnight-20200608-20200621-20200921.nc,shp\nl_clean.shp,2020-06-08T01:52:55.779000,2020-06-21T23:55:02.372000,34.99247360229492
processed\s5p-l3-tropno2-001-fortnight-20200615-20200628-20200920.nc,shp\nl_clean.shp,2020-06-15T01:21:09.609000,2020-06-29T01:04:26.821000,43.794681549072266
